county,state,# total covid cases,# covid cases per 100k,# covid deaths
St. Bernard Parish,Louisiana,11439,24212.598425196848,111
St. Charles Parish,Louisiana,13920,26214.689265536723,145
St. Helena Parish,Louisiana,1920,18949.861823924202,23
St. James Parish,Louisiana,5805,27517.064846416382,77
St. John the Baptist Parish,Louisiana,10628,24810.32752060135,184
St. Landry Parish,Louisiana,22279,27128.488626954364,416
St. Martin Parish,Louisiana,12985,24302.371282588763,188
St. Mary Parish,Louisiana,12526,25382.994244954203,262
St. Tammany Parish,Louisiana,73066,28057.092608450228,851
Tangipahoa Parish,Louisiana,34885,25887.145846628773,599
Tensas Parish,Louisiana,988,22796.49284725427,11
Terrebonne Parish,Louisiana,31012,28075.067218294236,419
Union Parish,Louisiana,6928,31337.072552922018,135
Vermilion Parish,Louisiana,15334,25766.66498630505,224
Vernon Parish,Louisiana,9939,20955.533534335533,191
Washington Parish,Louisiana,12994,28129.194267653806,249
Webster Parish,Louisiana,11145,29068.85758998435,186
West Baton Rouge Parish,Louisiana,7335,27715.851124126206,90
West Carroll Parish,Louisiana,3629,33508.771929824565,66
West Feliciana Parish,Louisiana,2835,18210.431654676257,46
Winn Parish,Louisiana,4452,32019.56271576525,64
Androscoggin County,Maine,23257,21479.169167967342,285
Aroostook County,Maine,14393,21464.469465364255,166
Cumberland County,Maine,52557,17815.75102626075,366
Franklin County,Maine,6014,19914.566707506874,60
Hancock County,Maine,7983,14517.976976376236,87
Kennebec County,Maine,24799,20276.85565240143,240
Knox County,Maine,6414,16126.923463743336,38
Lincoln County,Maine,5578,16105.561009412717,35
Oxford County,Maine,11799,20351.875808538163,148
Penobscot County,Maine,29710,19527.039461576886,331
Piscataquis County,Maine,3112,18540.36341971999,31
Sagadahoc County,Maine,5531,15425.591253904508,32
Somerset County,Maine,10213,20230.171935662787,110
Waldo County,Maine,6467,16283.52008057409,58
Washington County,Maine,4585,14611.68297268874,57
York County,Maine,41973,20214.215882219793,291
Allegany County,Maryland,17289,24552.658486707565,362
Anne Arundel County,Maryland,92813,16023.403322318785,1078
Baltimore County,Maryland,136250,16467.84389088316,2484
Calvert County,Maryland,11466,12392.326398270738,146
Caroline County,Maryland,6157,18430.82081063282,80
Carroll County,Maryland,22133,13139.444454338754,409
Cecil County,Maryland,15903,15461.57211608575,259
Charles County,Maryland,28947,17730.939561550193,353
Dorchester County,Maryland,7818,24485.577374800338,108
Frederick County,Maryland,46910,18073.797809259977,525
Garrett County,Maryland,5760,19852.485007237883,116
Harford County,Maryland,39412,15429.003174901445,582
Howard County,Maryland,46116,14159.476803094967,378
Kent County,Maryland,3119,16059.108227782926,66
Montgomery County,Maryland,177997,16940.994852896387,2044
Prince George's County,Maryland,175354,19283.931962869243,2163
Queen Anne's County,Maryland,7244,14378.436315277586,110
Somerset County,Maryland,5266,20557.464084946907,74
St. Mary's County,Maryland,19328,17027.574663025283,217
Talbot County,Maryland,5701,15333.10023936957,88
Washington County,Maryland,35428,23454.64054710723,586
Wicomico County,Maryland,20012,19314.92437915625,328
Worcester County,Maryland,8825,16881.551763715663,160
Barnstable County,Massachusetts,37644,17674.069205127,584
Berkshire County,Massachusetts,26169,20944.58317326162,378
Bristol County,Massachusetts,154820,27391.249732403663,2163
Dukes County,Massachusetts,3587,20695.822755596586,0
Essex County,Massachusetts,214332,27163.848452664904,2758
Franklin County,Massachusetts,11403,16248.218865773726,140
Hampden County,Massachusetts,139047,29814.611511840336,1804
Hampshire County,Massachusetts,30837,19173.661630292856,358
Middlesex County,Massachusetts,352032,21842.29189197238,3998
Nantucket County,Massachusetts,3481,30537.76647074305,0
Norfolk County,Massachusetts,141128,19967.882282197304,1901
Plymouth County,Massachusetts,120081,23039.243901596696,1685
Suffolk County,Massachusetts,226017,28114.819251480578,2006
Worcester County,Massachusetts,201669,24279.275049300406,2596
Alcona County,Michigan,1745,16770.783277270544,71
Alger County,Michigan,1729,18983.311374615725,13
Allegan County,Michigan,27448,23245.060593999035,348
Alpena County,Michigan,5809,20450.624889984156,139
Antrim County,Michigan,4448,19070.48533699194,66
Arenac County,Michigan,3267,21951.219512195123,67
Baraga County,Michigan,2051,24984.772810330127,53
Barry County,Michigan,14514,23580.828594638504,169
Bay County,Michigan,27496,26662.52933304889,588
Benzie County,Michigan,3514,19779.35382190701,68
Berrien County,Michigan,35344,23040.267012600958,561
Branch County,Michigan,11404,26205.85058712687,182
Calhoun County,Michigan,35011,26096.6465164469,575
Cass County,Michigan,11215,21656.014057582015,145
Charlevoix County,Michigan,4989,19083.502275943847,60
Cheboygan County,Michigan,4760,18832.093685709766,104
Chippewa County,Michigan,8722,23352.700206163485,104
Clare County,Michigan,6834,22080.775444264942,157
Clinton County,Michigan,22007,27648.721653370187,208
Crawford County,Michigan,2629,18739.75336802338,31
Delta County,Michigan,10050,28085.17773306506,157
Dickinson County,Michigan,7490,29676.294623400292,110
Eaton County,Michigan,27518,24955.562810606883,402
Emmet County,Michigan,6573,19670.80652401616,86
Genesee County,Michigan,103601,25529.24622917452,1720
Gladwin County,Michigan,5632,22130.535580965854,114
Gogebic County,Michigan,3296,23584.973166368512,69
Grand Traverse County,Michigan,17858,19183.997937435543,236
Gratiot County,Michigan,10971,26948.490579941536,187
Hillsdale County,Michigan,10453,22920.73237583598,203
Houghton County,Michigan,7982,22368.568546127117,92
Huron County,Michigan,8138,26267.712468932572,145
Ingham County,Michigan,66384,22702.680519551584,769
Ionia County,Michigan,16828,26010.479620384252,176
Iosco County,Michigan,4860,19341.743940780834,145
Iron County,Michigan,2673,24155.06958250497,86
Isabella County,Michigan,15890,22741.58461186169,211
Jackson County,Michigan,40318,25435.619203835722,559
Kalamazoo County,Michigan,60792,22934.665328635136,675
Kalkaska County,Michigan,3623,20085.37531877148,61
Kent County,Michigan,170245,25914.255923160643,1533
Keweenaw County,Michigan,523,24716.446124763705,14
Lake County,Michigan,1893,15970.640344216654,37
Lapeer County,Michigan,20598,23511.819831748606,418
Leelanau County,Michigan,3697,16989.10895638987,55
Lenawee County,Michigan,25145,25540.624269941392,324
Livingston County,Michigan,47639,24812.625328784605,450
Luce County,Michigan,1449,23262.16086049125,13
Mackinac County,Michigan,2479,22955.82924344847,31
Macomb County,Michigan,238508,27290.11913425144,3965
Manistee County,Michigan,3779,15388.060917012786,89
Marquette County,Michigan,15424,23124.78447952743,130
Mason County,Michigan,6873,23582.89870985452,96
Mecosta County,Michigan,8784,20214.944882977008,108
Menominee County,Michigan,5693,24991.22036874451,70
Midland County,Michigan,19428,23363.31713887152,226
Missaukee County,Michigan,2946,19486.704590554305,60
Monroe County,Michigan,39169,26025.91362126246,475
Montcalm County,Michigan,15232,23841.723015276733,210
Montmorency County,Michigan,1750,18760.720411663806,48
Muskegon County,Michigan,40372,23260.315960499178,639
Newaygo County,Michigan,11622,23728.052266231112,158
Oakland County,Michigan,300744,23914.426392193287,3851
Oceana County,Michigan,6422,24264.178033022254,90
Ogemaw County,Michigan,4372,20822.022193646713,106
Ontonagon County,Michigan,1008,17622.377622377622,38
Osceola County,Michigan,5067,21598.46547314578,80
Oscoda County,Michigan,1450,17594.952068923674,56
Otsego County,Michigan,5741,23273.066320739417,101
Ottawa County,Michigan,76277,26137.477298427166,785
Presque Isle County,Michigan,2085,16558.132147395172,58
Roscommon County,Michigan,4690,19526.208418335485,115
Saginaw County,Michigan,50166,26328.468187615134,947
Sanilac County,Michigan,8827,21440.369200874422,193
Schoolcraft County,Michigan,1763,21781.56659253768,16
Shiawassee County,Michigan,18142,26631.63148468923,232
St. Clair County,Michigan,41609,26148.132321150268,835
St. Joseph County,Michigan,13812,22655.99370120071,208
Tuscola County,Michigan,13350,25552.68446741315,277
Van Buren County,Michigan,17347,22922.420286216417,273
Washtenaw County,Michigan,82079,22328.285287580828,514
Wayne County,Michigan,416547,23811.625278747506,7973
Wexford County,Michigan,7169,21316.64238351521,107
Aitkin County,Minnesota,3049,19193.000125897015,62
Anoka County,Minnesota,100743,28225.573726398838,797
Becker County,Minnesota,8934,25953.57754989397,93
Beltrami County,Minnesota,12179,25809.527846062556,128
Benton County,Minnesota,14298,34967.839761305,174
Big Stone County,Minnesota,1425,28551.39250651172,9
Blue Earth County,Minnesota,18332,27097.098428746693,101
Brown County,Minnesota,6624,26487.523992322454,81
Carlton County,Minnesota,9257,25806.361684926545,97
Carver County,Minnesota,27480,26149.263957217212,117
Cass County,Minnesota,7123,23919.540615870243,81
Chippewa County,Minnesota,3128,26508.474576271186,48
Chisago County,Minnesota,14845,26237.65001148836,120
Clay County,Minnesota,20161,31392.669178786084,124
Clearwater County,Minnesota,2175,24665.457019732366,30
Cook County,Minnesota,594,10873.146622734761,4
Cottonwood County,Minnesota,3253,29055.019649874954,41
Crow Wing County,Minnesota,16266,25003.45861194374,170
Dakota County,Minnesota,113641,26488.446952480183,775
Dodge County,Minnesota,5888,28126.492786853923,21
Douglas County,Minnesota,11106,29118.271676149023,117
Faribault County,Minnesota,3843,28147.659854976926,52
Fillmore County,Minnesota,4921,23358.80761380358,24
Freeborn County,Minnesota,9250,30547.2078200852,75
Goodhue County,Minnesota,13600,29348.2952093224,136
Grant County,Minnesota,1506,25217.68251841929,12
Hennepin County,Minnesota,312909,24719.416230922794,2593
Houston County,Minnesota,4660,25053.763440860213,19
Hubbard County,Minnesota,5010,23312.08412823973,59
Isanti County,Minnesota,10263,25280.81584392551,117
Itasca County,Minnesota,11229,24881.453578550856,146
Jackson County,Minnesota,2167,22008.93763965062,17
Kanabec County,Minnesota,3575,21882.842627165333,57
Kandiyohi County,Minnesota,13649,31595.638787934906,139
Kittson County,Minnesota,1051,24453.234062354586,27
Koochiching County,Minnesota,2796,22863.684683947995,37
Lake County,Minnesota,2138,20092.096607461703,28
Lake of the Woods County,Minnesota,779,20828.877005347593,6
Le Sueur County,Minnesota,6586,22799.183023505382,51
Lincoln County,Minnesota,1220,21635.041674055683,6
Lyon County,Minnesota,7131,27993.248017586557,73
Mahnomen County,Minnesota,1803,32621.675411615706,18
Marshall County,Minnesota,2122,22729.220222793487,23
Martin County,Minnesota,5685,28882.79225727785,65
McLeod County,Minnesota,10753,29958.487727412026,108
Meeker County,Minnesota,5998,25828.955301007663,75
Mille Lacs County,Minnesota,7356,27994.063249229363,114
Morrison County,Minnesota,9262,27742.167375546636,105
Mower County,Minnesota,12083,30160.750836203886,74
Murray County,Minnesota,2043,24932.877715401515,16
Nicollet County,Minnesota,8305,24231.19565851666,66
Nobles County,Minnesota,6980,32271.487354940124,60
Norman County,Minnesota,1535,24078.431372549017,14
Olmsted County,Minnesota,43593,27539.436361683714,185
Otter Tail County,Minnesota,13763,23427.978075102987,167
Pennington County,Minnesota,3687,26113.74743253771,41
Pine County,Minnesota,7175,24257.07427566855,67
Pipestone County,Minnesota,2013,22057.85667324129,34
Polk County,Minnesota,8950,28535.901033031503,107
Pope County,Minnesota,3119,27726.909058582984,17
Ramsey County,Minnesota,129009,23442.499922772346,1348
Red Lake County,Minnesota,953,23501.84956843403,13
Redwood County,Minnesota,3985,26268.951878707976,54
Renville County,Minnesota,3783,26003.574374484466,56
Rice County,Minnesota,18357,27409.962372334707,176
Rock County,Minnesota,2348,25206.655931293615,34
Roseau County,Minnesota,4524,29831.84965380811,44
Scott County,Minnesota,41236,27672.753383932948,261
Sherburne County,Minnesota,27636,28420.987679713693,181
Sibley County,Minnesota,3596,24191.05280861083,24
St. Louis County,Minnesota,48555,24390.91776761943,533
Stearns County,Minnesota,51693,32092.50349216204,368
Steele County,Minnesota,10657,29078.556031542474,62
Stevens County,Minnesota,2675,27281.99898011219,13
Swift County,Minnesota,2313,24962.227498381177,33
Todd County,Minnesota,6898,27967.88842036977,58
Traverse County,Minnesota,871,26725.98956735195,10
Wabasha County,Minnesota,5795,26795.209691589218,16
Wadena County,Minnesota,4261,31143.107732787605,55
Waseca County,Minnesota,5587,30018.26778422523,39
Washington County,Minnesota,69180,26360.310928212162,481
Watonwan County,Minnesota,2990,27438.744608607874,23
Wilkin County,Minnesota,1662,26776.220396326727,22
Winona County,Minnesota,13109,25966.64289675937,72
Wright County,Minnesota,37182,26870.072338611186,305
Yellow Medicine County,Minnesota,2580,26573.282521371922,29
Adams County,Mississippi,7224,23536.311211025317,143
Alcorn County,Mississippi,10080,27277.893540443263,160
Amite County,Mississippi,3259,26502.398959095714,69
Attala County,Mississippi,5361,29498.18421921426,113
Benton County,Mississippi,2274,27533.59970940792,49
Bolivar County,Mississippi,9354,30540.681729136737,179
Calhoun County,Mississippi,4641,32316.69103822854,71
Carroll County,Mississippi,2565,25786.66934754197,54
Chickasaw County,Mississippi,5603,32760.33444424955,96
Choctaw County,Mississippi,2318,28233.861144945186,33
Claiborne County,Mississippi,2152,23943.03515798843,46
Clarke County,Mississippi,4239,27276.23705038286,108
Clay County,Mississippi,4974,25750.673017187823,98
Coahoma County,Mississippi,6486,29316.579280419453,126
Copiah County,Mississippi,7287,25964.724746125066,121
Covington County,Mississippi,7086,38023.180940115904,113
DeSoto County,Mississippi,50344,27221.065722241747,554
Forrest County,Mississippi,22076,29475.145866990668,315
Franklin County,Mississippi,1927,24983.79359522883,38
George County,Mississippi,7163,29236.73469387755,87
Greene County,Mississippi,3198,23538.937141174738,59
Grenada County,Mississippi,5533,26654.78369785143,131
Hancock County,Mississippi,12277,25774.68928451461,152
Harrison County,Mississippi,53859,25883.79469434833,665
Hinds County,Mississippi,52682,22723.42995169082,791
Holmes County,Mississippi,4455,26190.47619047619,104
Humphreys County,Mississippi,2030,25173.61111111111,46
Issaquena County,Mississippi,262,19743.78296910324,9
Itawamba County,Mississippi,7430,31765.711842667806,144
Jackson County,Mississippi,37055,25801.263081668607,463
Jasper County,Mississippi,4943,30171.5192577672,75
Jefferson County,Mississippi,1494,21373.390557939914,37
Jefferson Davis County,Mississippi,2865,25745.86628324946,53
Jones County,Mississippi,21234,31181.532497283326,295
Kemper County,Mississippi,2187,22449.189078218023,48
Lafayette County,Mississippi,15364,28441.844536181718,179
Lamar County,Mississippi,17441,27534.21846139273,160
Lauderdale County,Mississippi,18898,25494.77234401349,367
Lawrence County,Mississippi,3590,28523.756554902273,56
Leake County,Mississippi,6427,28205.915913280085,120
Lee County,Mississippi,26783,31348.611826396365,301
Leflore County,Mississippi,7326,25994.393783486496,169
Lincoln County,Mississippi,8324,24372.675899628142,157
Lowndes County,Mississippi,17528,29913.815171943,238
Madison County,Mississippi,24189,22761.404697380305,329
Marion County,Mississippi,6974,28380.74309201156,135
Marshall County,Mississippi,9941,28166.26055420185,174
Monroe County,Mississippi,10997,31195.39316918189,220
Montgomery County,Mississippi,2963,30312.020460358057,77
Neshoba County,Mississippi,10622,36479.15378803489,241
Newton County,Mississippi,6059,28827.671519649823,98
Noxubee County,Mississippi,2730,26207.161370836133,48
Oktibbeha County,Mississippi,11127,22439.349022929397,162
Panola County,Mississippi,10566,30901.965372016846,169
Pearl River County,Mississippi,15151,27281.89430089133,275
Perry County,Mississippi,3048,25457.278877474317,64
Pike County,Mississippi,9751,24819.283241702302,189
Pontotoc County,Mississippi,10364,32212.345372039534,145
Prentiss County,Mississippi,8245,32814.61434370771,103
Quitman County,Mississippi,1579,23247.938751472324,31
Rankin County,Mississippi,36738,23660.567652684662,489
Scott County,Mississippi,6559,23321.718105532644,119
Sharkey County,Mississippi,953,22055.07984262902,26
Simpson County,Mississippi,7026,26356.065721359442,149
Smith County,Mississippi,4127,25929.881879869314,68
Stone County,Mississippi,5409,29499.34554973822,71
Sunflower County,Mississippi,5773,22990.84030266826,125
Tallahatchie County,Mississippi,3203,23195.017742052285,60
Tate County,Mississippi,7396,26114.897072843472,143
Tippah County,Mississippi,7361,33436.29343629343,109
Tishomingo County,Mississippi,6172,31842.33606768818,122
Tunica County,Mississippi,2559,26567.691029900332,48
Union County,Mississippi,9487,32923.82439701544,122
Walthall County,Mississippi,3622,25353.492930141398,79
Warren County,Mississippi,10250,22586.545029858313,202
Washington County,Mississippi,10470,23844.76986494796,199
Wayne County,Mississippi,6008,29767.62622008621,87
Webster County,Mississippi,3388,34967.48890494375,70
Wilkinson County,Mississippi,1804,20903.823870220163,46
Winston County,Mississippi,5231,29133.94597605124,104
Yalobusha County,Mississippi,4114,33977.53551370995,57
Yazoo County,Mississippi,8054,27126.978780734255,107
Adair County,Missouri,5502,21710.136921437872,62
Andrew County,Missouri,4758,26863.143631436313,56
Atchison County,Missouri,1390,27027.02702702703,21
Audrain County,Missouri,5734,22585.47345202458,111
Barry County,Missouri,6625,18511.27441392607,127
Barton County,Missouri,2844,24196.018376722815,51
Bates County,Missouri,3746,23163.492456096956,92
Benton County,Missouri,4179,21493.59666718099,103
Bollinger County,Missouri,2589,21338.498310393144,38
Boone County,Missouri,43350,24021.54458254601,250
Buchanan County,Missouri,22740,26029.027974909575,307
Butler County,Missouri,10111,23802.909741513253,166
Caldwell County,Missouri,1694,18780.48780487805,38
Callaway County,Missouri,12072,26980.756766421564,127
Camden County,Missouri,9280,20041.032285930243,179
Cape Girardeau County,Missouri,18740,23760.317480442747,241
Carroll County,Missouri,2226,25648.11614241272,44
Carter County,Missouri,1499,25058.508859913072,24
Cass County,Missouri,24967,23602.76044620911,307
Cedar County,Missouri,2922,20363.78841731131,55
Chariton County,Missouri,1699,22879.073525451116,36
Christian County,Missouri,20868,23554.376657824934,256
Clark County,Missouri,1590,23392.673238193318,32
Clay County,Missouri,26987,10797.045785523389,351
Clinton County,Missouri,4804,23564.035905233726,117
Cole County,Missouri,20121,26217.994657632422,282
Cooper County,Missouri,4141,23383.59026483709,75
Crawford County,Missouri,5396,22558.528428093647,101
Dade County,Missouri,1439,19031.87409072874,41
Dallas County,Missouri,3812,22585.6144092902,71
Daviess County,Missouri,1716,20729.644841749214,28
DeKalb County,Missouri,2204,17565.952020403285,45
Dent County,Missouri,3261,20940.088614910423,81
Douglas County,Missouri,2550,19340.159271899887,79
Dunklin County,Missouri,7456,25594.727266485872,117
Franklin County,Missouri,22675,21809.805034289726,338
Gasconade County,Missouri,3334,22671.018631850944,95
Gentry County,Missouri,2158,32841.27225688632,31
Greene County,Missouri,69975,23875.244808690964,1023
Grundy County,Missouri,2485,25228.426395939085,67
Harrison County,Missouri,1821,21803.16091954023,33
Henry County,Missouri,5741,26305.901759530792,83
Hickory County,Missouri,1827,19142.917015926236,56
Holt County,Missouri,1055,23960.935725641608,29
Howard County,Missouri,2167,21667.833216678333,25
Howell County,Missouri,9002,22439.36485779096,210
Iron County,Missouri,2197,21698.765432098764,43
Jasper County,Missouri,34597,28515.264407226692,527
Jefferson County,Missouri,53990,23986.92026426042,640
Johnson County,Missouri,12165,22501.94221449447,140
Knox County,Missouri,977,24677.9489770144,13
Laclede County,Missouri,8102,22680.066063880415,175
Lafayette County,Missouri,7793,23825.975296563534,128
Lawrence County,Missouri,7786,20299.830530569678,164
Lewis County,Missouri,2745,28078.968903436988,35
Lincoln County,Missouri,15127,25633.33502787521,137
Linn County,Missouri,2549,21384.228187919463,64
Livingston County,Missouri,3751,24633.87403953504,96
Macon County,Missouri,3634,24039.161209234637,53
Madison County,Missouri,3601,29789.87425545996,57
Maries County,Missouri,1599,18385.650224215246,37
Marion County,Missouri,7961,27903.960743077463,118
McDonald County,Missouri,5353,23440.03152778386,67
Mercer County,Missouri,697,19270.11335360796,13
Miller County,Missouri,6101,23814.356532261216,118
Mississippi County,Missouri,3457,26229.135053110775,56
Moniteau County,Missouri,3814,23642.44978923878,56
Monroe County,Missouri,2173,25138.8246182323,42
Montgomery County,Missouri,2500,21643.147779413037,57
Morgan County,Missouri,4025,19513.259320308334,109
New Madrid County,Missouri,5030,29456.547200749592,85
Newton County,Missouri,11730,20142.18009478673,203
Nodaway County,Missouri,5740,25982.256020278834,44
Oregon County,Missouri,2022,19204.102953746795,33
Osage County,Missouri,3212,23591.626882115313,44
Ozark County,Missouri,1710,18639.633747547417,55
Pemiscot County,Missouri,3006,19019.29769060424,74
Perry County,Missouri,4989,26071.279264214045,45
Pettis County,Missouri,12208,28833.93561491769,160
Phelps County,Missouri,10185,22850.15592398986,240
Pike County,Missouri,4238,23155.93924161294,63
Platte County,Missouri,10378,9938.899423471048,101
Polk County,Missouri,8040,25008.553920806247,108
Pulaski County,Missouri,8818,16762.027867013894,114
Putnam County,Missouri,995,21188.24531516184,23
Ralls County,Missouri,2455,23814.14298186051,26
Randolph County,Missouri,6013,24296.91288184904,102
Ray County,Missouri,5147,22360.76114345295,93
Reynolds County,Missouri,1158,18468.899521531097,25
Ripley County,Missouri,2690,20243.829018663455,61
Saline County,Missouri,6269,27542.726593734897,102
Schuyler County,Missouri,735,15772.5321888412,26
Scotland County,Missouri,681,13892.288861689107,18
Scott County,Missouri,11109,29020.37617554859,159
Shannon County,Missouri,1607,19679.15748224345,38
Shelby County,Missouri,1555,26222.596964586846,15
St. Charles County,Missouri,93814,23335.53885110765,918
St. Clair County,Missouri,2102,22368.841119506225,34
St. Francois County,Missouri,19070,28371.643234397085,294
St. Louis County,Missouri,215940,21719.866627104067,3129
Ste. Genevieve County,Missouri,3655,20425.841064043816,39
Stoddard County,Missouri,6103,21026.701119724374,128
Stone County,Missouri,5784,18102.153229844767,120
Sullivan County,Missouri,1706,28017.736902611265,21
Taney County,Missouri,13307,23793.091117150623,223
Texas County,Missouri,4719,18580.20316560359,100
Vernon County,Missouri,5051,24563.536448961728,109
Warren County,Missouri,8133,22814.104182445513,102
Washington County,Missouri,5983,24193.28750505459,137
Wayne County,Missouri,2400,18643.672803542297,53
Webster County,Missouri,9025,22795.00909274601,146
Worth County,Missouri,401,19920.51664182812,3
Wright County,Missouri,3834,20963.420635354585,80
Beaverhead County,Montana,2137,22606.579921717974,30
Big Horn County,Montana,4980,37390.19445904347,96
Blaine County,Montana,2077,31088.160455021705,32
Broadwater County,Montana,1283,20570.787237453904,21
Carbon County,Montana,2080,19393.939393939396,28
Carter County,Montana,252,20127.795527156548,5
Cascade County,Montana,25246,31027.70198854558,341
Chouteau County,Montana,991,17586.51286601597,14
Custer County,Montana,3062,26854.93773022277,48
Daniels County,Montana,386,22840.236686390534,9
Dawson County,Montana,2357,27365.610124230814,58
Deer Lodge County,Montana,2563,28041.57549234136,29
Fallon County,Montana,680,23893.18341531975,10
Fergus County,Montana,2515,22760.18099547511,56
Flathead County,Montana,29318,28243.06880141803,281
Gallatin County,Montana,34637,30268.102137476628,122
Garfield County,Montana,225,17885.532591414947,3
Glacier County,Montana,3978,28924.598269468475,74
Golden Valley County,Montana,150,18270.401948842875,5
Granite County,Montana,537,15892.27582124889,9
Hill County,Montana,4574,27748.11938849794,73
Jefferson County,Montana,2601,21283.037394648556,23
Judith Basin County,Montana,225,11210.762331838565,1
Lake County,Montana,6634,21780.812922713245,100
Lewis and Clark County,Montana,17709,25505.53059108192,185
Liberty County,Montana,398,17030.380830124093,4
Lincoln County,Montana,4787,23958.95895895896,89
Madison County,Montana,1819,21151.162790697676,20
McCone County,Montana,383,23016.826923076926,9
Meagher County,Montana,412,22126.74543501611,10
Mineral County,Montana,1100,25017.05708437571,17
Missoula County,Montana,27678,23142.140468227426,209
Musselshell County,Montana,917,19792.790848262463,31
Park County,Montana,4260,25653.378297001083,35
Petroleum County,Montana,35,7186.858316221766,1
Phillips County,Montana,1060,26808.295397066264,28
Pondera County,Montana,1183,20013.534088986635,8
Powder River County,Montana,343,20392.390011890606,10
Powell County,Montana,1869,27126.269956458633,29
Prairie County,Montana,263,24419.684308263695,3
Ravalli County,Montana,7089,16182.714696616902,164
Richland County,Montana,2646,24493.196334351567,35
Roosevelt County,Montana,3279,29798.25517993457,74
Rosebud County,Montana,2633,29461.788072059975,60
Sanders County,Montana,2164,17865.10360769421,47
Sheridan County,Montana,698,21093.986098519188,11
Silver Bow County,Montana,8511,24376.342546183587,130
Stillwater County,Montana,1538,15951.047500518564,32
Sweet Grass County,Montana,785,21006.154669521005,13
Teton County,Montana,1290,20985.846754514398,24
Toole County,Montana,1249,26372.466216216217,24
Treasure County,Montana,133,19109.19540229885,1
Valley County,Montana,1705,23053.00162249865,37
Wheatland County,Montana,386,18156.161806208842,14
Wibaux County,Montana,204,21052.631578947367,8
Yellowstone County,Montana,43099,26719.776813391196,551
Adams County,Nebraska,6499,20721.86971909575,46
Antelope County,Nebraska,1075,17068.910765322325,7
Arthur County,Nebraska,32,6911.447084233262,1
Banner County,Nebraska,89,11946.308724832215,0
Blaine County,Nebraska,67,14408.602150537636,0
Boone County,Nebraska,1091,21013.097072419107,4
Box Butte County,Nebraska,2336,21663.729945284245,8
Boyd County,Nebraska,404,21052.63157894737,3
Brown County,Nebraska,506,17123.51945854484,2
Buffalo County,Nebraska,12000,24164.80396302785,57
Burt County,Nebraska,1343,20792.692367239513,12
Butler County,Nebraska,1903,23740.01996007984,11
Cass County,Nebraska,6124,23331.301432490094,16
Cedar County,Nebraska,1506,17924.303737205428,11
Chase County,Nebraska,744,18960.244648318043,5
Cherry County,Nebraska,537,9439.268764281947,7
Cheyenne County,Nebraska,2025,22727.272727272728,16
Clay County,Nebraska,1515,24423.66596807996,11
Colfax County,Nebraska,2737,25557.941918012886,21
Cuming County,Nebraska,1806,20416.007234908433,15
Custer County,Nebraska,2030,18836.4108750116,19
Dakota County,Nebraska,6900,34455.20822930191,65
Dawes County,Nebraska,1361,15845.849342181862,12
Dawson County,Nebraska,5261,22297.09684255139,31
Deuel County,Nebraska,322,17948.71794871795,1
Dixon County,Nebraska,1182,20972.320794889994,9
Dodge County,Nebraska,10107,27641.186927389583,62
Douglas County,Nebraska,149432,26155.24909552673,718
Dundy County,Nebraska,349,20614.2941523922,4
Fillmore County,Nebraska,1127,20633.467594287806,8
Franklin County,Nebraska,421,14132.259147364888,4
Frontier County,Nebraska,543,20669.965740388274,1
Furnas County,Nebraska,1122,23994.86740804106,5
Gage County,Nebraska,3588,16678.287547064567,19
Garden County,Nebraska,368,20032.661948829613,1
Garfield County,Nebraska,399,20264.093448450993,1
Gosper County,Nebraska,372,18693.467336683418,5
Grant County,Nebraska,106,17014.446227929373,4
Greeley County,Nebraska,410,17402.376910016977,1
Hall County,Nebraska,16513,26914.739295551968,117
Hamilton County,Nebraska,2254,24174.17417417417,17
Harlan County,Nebraska,378,11183.431952662722,0
Hayes County,Nebraska,106,11496.746203904555,0
Hitchcock County,Nebraska,530,19188.993482983347,5
Holt County,Nebraska,2147,21327.108373894906,16
Hooker County,Nebraska,112,16422.287390029327,2
Howard County,Nebraska,1189,18448.40961986036,10
Jefferson County,Nebraska,1211,17187.056485949477,1
Johnson County,Nebraska,868,17116.93945967265,9
Kearney County,Nebraska,1182,18198.6143187067,5
Keith County,Nebraska,1539,19156.08663181479,10
Keya Paha County,Nebraska,118,14640.198511166254,0
Kimball County,Nebraska,769,21172.907488986784,1
Knox County,Nebraska,1677,20127.22035525684,12
Lancaster County,Nebraska,78065,24464.8845153405,0
Lincoln County,Nebraska,8708,24941.28429856218,60
Logan County,Nebraska,148,19786.096256684494,0
Loup County,Nebraska,87,13102.409638554216,0
Madison County,Nebraska,9685,27593.37872873871,44
McPherson County,Nebraska,74,14979.757085020243,1
Merrick County,Nebraska,1703,21960.025789813026,15
Morrill County,Nebraska,1243,26777.25118483412,7
Nance County,Nebraska,802,22790.565501562945,10
Nemaha County,Nebraska,1485,21299.483648881236,15
Nuckolls County,Nebraska,977,23553.51976856316,11
Otoe County,Nebraska,3344,20884.336747439418,10
Pawnee County,Nebraska,412,15767.317259854573,1
Perkins County,Nebraska,530,18332.756831546176,11
Phelps County,Nebraska,2326,25747.17733008634,10
Pierce County,Nebraska,1272,17795.18746502518,20
Platte County,Nebraska,8648,25838.063937854797,50
Polk County,Nebraska,1219,23383.848072127374,9
Red Willow County,Nebraska,2329,21717.64267064528,15
